domain,instance,obs_pct,true_idx,predicted_idx,spread,correct,obs_count,deltas,posterior,beta
block-words,p02,10,0,0,14,1,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0567,0.0567,0.0567,0.0567,0.0567,0.0567,0.0567,0.0344,0.0344,0.0567,0.0567,0.0567,0.0344,0.0567,0.0344,0.0344,0.0567,0.0567,0.0567,0.0344",0.5
block-words,p02,30,0,0,10,1,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0857,0.0857,0.0857,0.0857,0.0857,0.0857,0.0857,0.0070,0.0191,0.0857,0.0857,0.0857,0.0070,0.0070,0.0070,0.0070,0.0191,0.0315,0.0315,0.0070",0.5
block-words,p02,50,0,0,8,1,4,"0,0,0,0,0,0,0,5,5,0,2,2,8,6,6,7,5,4,4,8","0.1062,0.1062,0.1062,0.1062,0.1062,0.1062,0.1062,0.0087,0.0087,0.1062,0.0391,0.0391,0.0019,0.0053,0.0053,0.0032,0.0087,0.0144,0.0144,0.0019",0.5
block-words,p02,70,0,0,1,1,6,"0,4,4,3,4,4,4,10,10,2,4,4,10,8,8,10,10,8,8,12","0.3777,0.0511,0.0511,0.0843,0.0511,0.0511,0.0511,0.0025,0.0025,0.1389,0.0511,0.0511,0.0025,0.0069,0.0069,0.0025,0.0025,0.0069,0.0069,0.0009",0.5
block-words,p02,100,0,0,1,1,8,"0,6,6,6,6,6,8,12,14,4,6,6,12,8,10,10,10,8,8,14","0.6313,0.0314,0.0314,0.0314,0.0314,0.0314,0.0116,0.0016,0.0006,0.0854,0.0314,0.0314,0.0016,0.0116,0.0043,0.0043,0.0043,0.0116,0.0116,0.0006",0.5
block-words,p02,10,1,0,10,0,2,"0,0,0,0,0,0,0,3,2,0,0,0,4,4,4,4,2,2,2,3","0.0803,0.0803,0.0803,0.0803,0.0803,0.0803,0.0803,0.0179,0.0295,0.0803,0.0803,0.0803,0.0109,0.0109,0.0109,0.0109,0.0295,0.0295,0.0295,0.0179",0.5
block-words,p02,30,1,1,9,1,4,"2,0,0,0,0,0,0,5,4,0,0,0,8,8,8,8,4,6,6,5","0.0369,0.1002,0.1002,0.1002,0.1002,0.1002,0.1002,0.0082,0.0136,0.1002,0.1002,0.1002,0.0018,0.0018,0.0018,0.0018,0.0136,0.0050,0.0050,0.0082",0.5
block-words,p02,50,1,1,9,1,6,"4,0,0,0,0,0,0,6,6,0,0,0,8,8,8,8,6,8,6,6","0.0143,0.1055,0.1055,0.1055,0.1055,0.1055,0.1055,0.0053,0.0053,0.1055,0.1055,0.1055,0.0019,0.0019,0.0019,0.0019,0.0053,0.0019,0.0053,0.0053",0.5
block-words,p02,70,1,1,3,1,9,"8,0,0,1,0,1,5,9,8,5,4,4,8,11,9,8,10,9,7,8","0.0038,0.2077,0.2077,0.1260,0.2077,0.1260,0.0171,0.0023,0.0038,0.0171,0.0281,0.0281,0.0038,0.0008,0.0023,0.0038,0.0014,0.0023,0.0063,0.0038",0.5
block-words,p02,100,1,1,1,1,12,"14,0,3,6,4,6,14,14,14,8,9,10,10,14,12,13,16,14,12,14","0.0006,0.6604,0.1474,0.0329,0.0894,0.0329,0.0006,0.0006,0.0006,0.0121,0.0073,0.0045,0.0045,0.0006,0.0016,0.0010,0.0002,0.0006,0.0016,0.0006",0.5
block-words,p02,10,2,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0567,0.0567,0.0567,0.0567,0.0567,0.0567,0.0567,0.0344,0.0344,0.0567,0.0567,0.0567,0.0344,0.0567,0.0344,0.0344,0.0567,0.0567,0.0567,0.0344",0.5
block-words,p02,30,2,0,10,0,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0857,0.0857,0.0857,0.0857,0.0857,0.0857,0.0857,0.0070,0.0191,0.0857,0.0857,0.0857,0.0070,0.0070,0.0070,0.0070,0.0191,0.0315,0.0315,0.0070",0.5
block-words,p02,50,2,1,9,0,5,"2,0,0,0,0,0,0,5,5,0,0,0,8,8,8,8,4,6,6,5","0.0371,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008,0.0083,0.0083,0.1008,0.1008,0.1008,0.0018,0.0018,0.0018,0.0018,0.0136,0.0050,0.0050,0.0083",0.5
block-words,p02,70,2,1,5,0,7,"4,0,0,0,0,0,1,7,7,1,1,1,8,8,8,8,7,8,6,7","0.0173,0.1278,0.1278,0.1278,0.1278,0.1278,0.0775,0.0039,0.0039,0.0775,0.0775,0.0775,0.0023,0.0023,0.0023,0.0023,0.0039,0.0023,0.0064,0.0039",0.5
block-words,p02,100,2,1,3,0,10,"10,0,0,3,0,4,6,10,10,6,6,6,10,12,10,10,12,12,10,10","0.0019,0.2763,0.2763,0.0617,0.2763,0.0374,0.0138,0.0019,0.0019,0.0138,0.0138,0.0138,0.0019,0.0007,0.0019,0.0019,0.0007,0.0007,0.0019,0.0019",0.5
