domain,instance,obs_pct,true_idx,predicted_idx,spread,correct,obs_count,deltas,posterior,beta
block-words,p02,30,3,0,10,0,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0961,0.0961,0.0961,0.0961,0.0961,0.0961,0.0961,0.0006,0.0048,0.0961,0.0961,0.0961,0.0006,0.0006,0.0006,0.0006,0.0048,0.0130,0.0130,0.0006",1.0
block-words,p02,50,3,1,9,0,4,"2,0,0,0,0,0,0,5,4,0,0,0,8,8,8,8,4,6,6,5","0.0147,0.1088,0.1088,0.1088,0.1088,0.1088,0.1088,0.0007,0.0020,0.1088,0.1088,0.1088,0.0000,0.0000,0.0000,0.0000,0.0020,0.0003,0.0003,0.0007",1.0
block-words,p02,70,3,1,9,0,6,"4,0,0,0,0,0,0,6,6,0,0,0,8,8,8,8,6,8,6,6","0.0020,0.1107,0.1107,0.1107,0.1107,0.1107,0.1107,0.0003,0.0003,0.1107,0.1107,0.1107,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0003,0.0003",1.0
block-words,p02,100,3,1,5,0,8,"6,0,0,0,0,0,3,8,8,4,4,4,8,10,8,8,10,8,6,8","0.0005,0.1956,0.1956,0.1956,0.1956,0.1956,0.0097,0.0001,0.0001,0.0036,0.0036,0.0036,0.0001,0.0000,0.0001,0.0001,0.0000,0.0001,0.0005,0.0001",1.0
block-words,p02,10,4,0,10,0,2,"0,0,0,0,0,0,0,2,2,0,0,0,4,4,4,4,2,2,2,2","0.0919,0.0919,0.0919,0.0919,0.0919,0.0919,0.0919,0.0124,0.0124,0.0919,0.0919,0.0919,0.0017,0.0017,0.0017,0.0017,0.0124,0.0124,0.0124,0.0124",1.0
block-words,p02,30,4,1,7,0,4,"2,0,0,0,0,0,2,6,6,2,0,0,7,6,7,6,6,4,4,6","0.0181,0.1341,0.1341,0.1341,0.1341,0.1341,0.0181,0.0003,0.0003,0.0181,0.1341,0.1341,0.0001,0.0003,0.0001,0.0003,0.0003,0.0025,0.0025,0.0003",1.0
block-words,p02,50,4,1,7,0,6,"4,0,0,0,0,0,2,8,8,2,0,0,8,6,8,6,8,6,4,8","0.0025,0.1367,0.1367,0.1367,0.1367,0.1367,0.0185,0.0000,0.0000,0.0185,0.1367,0.1367,0.0000,0.0003,0.0000,0.0003,0.0000,0.0003,0.0025,0.0000",1.0
block-words,p02,70,4,1,3,0,9,"8,0,0,1,0,1,9,9,8,5,4,4,8,11,9,8,10,9,7,8","0.0001,0.2644,0.2644,0.0973,0.2644,0.0973,0.0000,0.0000,0.0001,0.0018,0.0048,0.0048,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001",1.0
block-words,p02,100,4,4,1,1,12,"14,4,3,6,0,6,12,12,13,8,9,6,12,14,12,12,15,14,12,14","0.0000,0.0170,0.0463,0.0023,0.9293,0.0023,0.0000,0.0000,0.0000,0.0003,0.0001,0.0023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",1.0
block-words,p02,10,5,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227",1.0
block-words,p02,30,5,0,10,0,3,"0,0,0,0,0,0,0,3,3,0,0,0,5,5,5,5,3,2,2,3","0.0953,0.0953,0.0953,0.0953,0.0953,0.0953,0.0953,0.0047,0.0047,0.0953,0.0953,0.0953,0.0006,0.0006,0.0006,0.0006,0.0047,0.0129,0.0129,0.0047",1.0
block-words,p02,50,5,0,8,0,5,"0,0,0,0,0,0,0,5,7,0,2,2,8,6,6,8,6,4,4,7","0.1201,0.1201,0.1201,0.1201,0.1201,0.1201,0.1201,0.0008,0.0001,0.1201,0.0163,0.0163,0.0000,0.0003,0.0003,0.0000,0.0003,0.0022,0.0022,0.0001",1.0
block-words,p02,70,5,1,5,0,7,"4,0,0,0,0,0,1,7,7,1,2,2,8,7,7,8,8,6,4,8","0.0030,0.1653,0.1653,0.1653,0.1653,0.1653,0.0608,0.0002,0.0002,0.0608,0.0224,0.0224,0.0001,0.0002,0.0002,0.0001,0.0001,0.0004,0.0030,0.0001",1.0
