domain,instance,obs_pct,true_idx,predicted_idx,spread,correct,obs_count,deltas,posterior,beta
block-words,p02,10,0,0,14,1,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466",0.1
block-words,p02,30,0,0,10,1,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,0.0362,0.0442,0.0597,0.0597,0.0597,0.0362,0.0362,0.0362,0.0362,0.0442,0.0489,0.0489,0.0362",0.1
block-words,p02,50,0,0,8,1,4,"0,0,0,0,0,0,0,5,5,0,2,2,8,6,6,7,5,4,4,8","0.0654,0.0654,0.0654,0.0654,0.0654,0.0654,0.0654,0.0397,0.0397,0.0654,0.0535,0.0535,0.0294,0.0359,0.0359,0.0325,0.0397,0.0438,0.0438,0.0294",0.1
block-words,p02,70,0,0,1,1,6,"0,4,4,3,4,4,4,10,10,2,4,4,10,8,8,10,10,8,8,12","0.0894,0.0599,0.0599,0.0662,0.0599,0.0599,0.0599,0.0329,0.0329,0.0732,0.0599,0.0599,0.0329,0.0402,0.0402,0.0329,0.0329,0.0402,0.0402,0.0269",0.1
block-words,p02,100,0,0,1,1,8,"0,6,6,6,6,6,8,12,14,4,6,6,12,8,10,10,10,8,8,14","0.1052,0.0577,0.0577,0.0577,0.0577,0.0577,0.0473,0.0317,0.0259,0.0705,0.0577,0.0577,0.0317,0.0473,0.0387,0.0387,0.0387,0.0473,0.0473,0.0259",0.1
block-words,p02,10,1,0,10,0,2,"0,0,0,0,0,0,0,3,2,0,0,0,4,4,4,4,2,2,2,3","0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0425,0.0470,0.0573,0.0573,0.0573,0.0384,0.0384,0.0384,0.0384,0.0470,0.0470,0.0470,0.0425",0.1
block-words,p02,30,1,1,9,1,4,"2,0,0,0,0,0,0,5,4,0,0,0,8,8,8,8,4,6,6,5","0.0536,0.0655,0.0655,0.0655,0.0655,0.0655,0.0655,0.0397,0.0439,0.0655,0.0655,0.0655,0.0294,0.0294,0.0294,0.0294,0.0439,0.0359,0.0359,0.0397",0.1
block-words,p02,50,1,1,9,1,6,"4,0,0,0,0,0,0,6,6,0,0,0,8,8,8,8,6,8,6,6","0.0457,0.0682,0.0682,0.0682,0.0682,0.0682,0.0682,0.0374,0.0374,0.0682,0.0682,0.0682,0.0306,0.0306,0.0306,0.0306,0.0374,0.0306,0.0374,0.0374",0.1
block-words,p02,70,1,1,3,1,9,"8,0,0,1,0,1,5,9,8,5,4,4,8,11,9,8,10,9,7,8","0.0374,0.0831,0.0831,0.0752,0.0831,0.0752,0.0504,0.0338,0.0374,0.0504,0.0557,0.0557,0.0374,0.0277,0.0338,0.0374,0.0306,0.0338,0.0413,0.0374",0.1
block-words,p02,100,1,1,1,1,12,"14,0,3,6,4,6,14,14,14,8,9,10,10,14,12,13,16,14,12,14","0.0312,0.1265,0.0937,0.0694,0.0848,0.0694,0.0312,0.0312,0.0312,0.0569,0.0514,0.0465,0.0465,0.0312,0.0381,0.0345,0.0255,0.0312,0.0381,0.0312",0.1
block-words,p02,10,2,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466",0.1
block-words,p02,30,2,0,10,0,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,0.0362,0.0442,0.0597,0.0597,0.0597,0.0362,0.0362,0.0362,0.0362,0.0442,0.0489,0.0489,0.0362",0.1
block-words,p02,50,2,1,9,0,5,"2,0,0,0,0,0,0,5,5,0,0,0,8,8,8,8,4,6,6,5","0.0539,0.0658,0.0658,0.0658,0.0658,0.0658,0.0658,0.0399,0.0399,0.0658,0.0658,0.0658,0.0296,0.0296,0.0296,0.0296,0.0441,0.0361,0.0361,0.0399",0.1
block-words,p02,70,2,1,5,0,7,"4,0,0,0,0,0,1,7,7,1,1,1,8,8,8,8,7,8,6,7","0.0476,0.0711,0.0711,0.0711,0.0711,0.0711,0.0643,0.0353,0.0353,0.0643,0.0643,0.0643,0.0319,0.0319,0.0319,0.0319,0.0353,0.0319,0.0390,0.0353",0.1
block-words,p02,100,2,1,3,0,10,"10,0,0,3,0,4,6,10,10,6,6,6,10,12,10,10,12,12,10,10","0.0352,0.0957,0.0957,0.0709,0.0957,0.0641,0.0525,0.0352,0.0352,0.0525,0.0525,0.0525,0.0352,0.0288,0.0352,0.0352,0.0288,0.0288,0.0352,0.0352",0.1
block-words,p02,10,3,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466",0.1
block-words,p02,30,3,0,10,0,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,0.0362,0.0442,0.0597,0.0597,0.0597,0.0362,0.0362,0.0362,0.0362,0.0442,0.0489,0.0489,0.0362",0.1
block-words,p02,50,3,1,9,0,4,"2,0,0,0,0,0,0,5,4,0,0,0,8,8,8,8,4,6,6,5","0.0536,0.0655,0.0655,0.0655,0.0655,0.0655,0.0655,0.0397,0.0439,0.0655,0.0655,0.0655,0.0294,0.0294,0.0294,0.0294,0.0439,0.0359,0.0359,0.0397",0.1
block-words,p02,70,3,1,9,0,6,"4,0,0,0,0,0,0,6,6,0,0,0,8,8,8,8,6,8,6,6","0.0457,0.0682,0.0682,0.0682,0.0682,0.0682,0.0682,0.0374,0.0374,0.0682,0.0682,0.0682,0.0306,0.0306,0.0306,0.0306,0.0374,0.0306,0.0374,0.0374",0.1
block-words,p02,100,3,1,5,0,8,"6,0,0,0,0,0,3,8,8,4,4,4,8,10,8,8,10,8,6,8","0.0431,0.0786,0.0786,0.0786,0.0786,0.0786,0.0582,0.0353,0.0353,0.0527,0.0527,0.0527,0.0353,0.0289,0.0353,0.0353,0.0289,0.0353,0.0431,0.0353",0.1
block-words,p02,10,4,0,10,0,2,"0,0,0,0,0,0,0,2,2,0,0,0,4,4,4,4,2,2,2,2","0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0465,0.0465,0.0568,0.0568,0.0568,0.0381,0.0381,0.0381,0.0381,0.0465,0.0465,0.0465,0.0465",0.1
block-words,p02,30,4,1,7,0,4,"2,0,0,0,0,0,2,6,6,2,0,0,7,6,7,6,6,4,4,6","0.0543,0.0663,0.0663,0.0663,0.0663,0.0663,0.0543,0.0364,0.0364,0.0543,0.0663,0.0663,0.0329,0.0364,0.0329,0.0364,0.0364,0.0444,0.0444,0.0364",0.1
block-words,p02,50,4,1,7,0,6,"4,0,0,0,0,0,2,8,8,2,0,0,8,6,8,6,8,6,4,8","0.0468,0.0698,0.0698,0.0698,0.0698,0.0698,0.0572,0.0314,0.0314,0.0572,0.0698,0.0698,0.0314,0.0383,0.0314,0.0383,0.0314,0.0383,0.0468,0.0314",0.1
block-words,p02,70,4,1,3,0,9,"8,0,0,1,0,1,9,9,8,5,4,4,8,11,9,8,10,9,7,8","0.0380,0.0846,0.0846,0.0765,0.0846,0.0765,0.0344,0.0344,0.0380,0.0513,0.0567,0.0567,0.0380,0.0281,0.0344,0.0380,0.0311,0.0344,0.0420,0.0380",0.1
block-words,p02,100,4,4,1,1,12,"14,4,3,6,0,6,12,12,13,8,9,6,12,14,12,12,15,14,12,14","0.0301,0.0817,0.0903,0.0669,0.1219,0.0669,0.0367,0.0367,0.0332,0.0548,0.0496,0.0669,0.0367,0.0301,0.0367,0.0367,0.0272,0.0301,0.0367,0.0301",0.1
block-words,p02,10,5,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466",0.1
block-words,p02,30,5,0,10,0,3,"0,0,0,0,0,0,0,3,3,0,0,0,5,5,5,5,3,2,2,3","0.0587,0.0587,0.0587,0.0587,0.0587,0.0587,0.0587,0.0435,0.0435,0.0587,0.0587,0.0587,0.0356,0.0356,0.0356,0.0356,0.0435,0.0481,0.0481,0.0435",0.1
block-words,p02,50,5,0,8,0,5,"0,0,0,0,0,0,0,5,7,0,2,2,8,6,6,8,6,4,4,7","0.0661,0.0661,0.0661,0.0661,0.0661,0.0661,0.0661,0.0401,0.0328,0.0661,0.0541,0.0541,0.0297,0.0363,0.0363,0.0297,0.0363,0.0443,0.0443,0.0328",0.1
block-words,p02,70,5,1,5,0,7,"4,0,0,0,0,0,1,7,7,1,2,2,8,7,7,8,8,6,4,8","0.0475,0.0708,0.0708,0.0708,0.0708,0.0708,0.0641,0.0352,0.0352,0.0641,0.0580,0.0580,0.0318,0.0352,0.0352,0.0318,0.0318,0.0389,0.0475,0.0318",0.1
block-words,p02,100,5,5,1,1,10,"10,4,4,3,4,0,6,10,10,6,6,6,10,12,10,10,12,10,8,10","0.0370,0.0674,0.0674,0.0745,0.0674,0.1006,0.0552,0.0370,0.0370,0.0552,0.0552,0.0552,0.0370,0.0303,0.0370,0.0370,0.0303,0.0370,0.0452,0.0370",0.1
block-words,p02,10,6,6,12,1,1,"1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0","0.0470,0.0470,0.0470,0.0470,0.0470,0.0470,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0470,0.0470,0.0520",0.1
block-words,p02,30,6,6,1,1,3,"4,4,2,2,2,2,0,1,1,2,2,2,3,2,3,3,4,2,2,5","0.0423,0.0423,0.0517,0.0517,0.0517,0.0517,0.0631,0.0571,0.0571,0.0517,0.0517,0.0517,0.0468,0.0517,0.0468,0.0468,0.0423,0.0517,0.0517,0.0383",0.1
block-words,p02,50,6,6,1,1,5,"4,4,2,2,2,2,0,5,3,2,2,2,7,7,7,7,7,4,4,9","0.0491,0.0491,0.0600,0.0600,0.0600,0.0600,0.0733,0.0444,0.0543,0.0600,0.0600,0.0600,0.0364,0.0364,0.0364,0.0364,0.0364,0.0491,0.0491,0.0298",0.1
block-words,p02,70,6,6,1,1,7,"7,6,4,4,4,4,0,7,5,4,4,4,9,9,9,9,9,6,7,11","0.0441,0.0488,0.0596,0.0596,0.0596,0.0596,0.0889,0.0441,0.0539,0.0596,0.0596,0.0596,0.0361,0.0361,0.0361,0.0361,0.0361,0.0488,0.0441,0.0296",0.1
