domain,instance,obs_pct,true_idx,predicted_idx,spread,correct,obs_count,deltas,posterior,beta
block-words,p02,100,6,6,1,1,10,"10,8,6,6,6,6,0,10,10,6,6,6,12,12,12,12,14,10,8,14","0.0413,0.0504,0.0616,0.0616,0.0616,0.0616,0.1122,0.0413,0.0413,0.0616,0.0616,0.0616,0.0338,0.0338,0.0338,0.0338,0.0277,0.0413,0.0504,0.0277",0.1
block-words,p02,10,7,6,12,0,1,"1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0","0.0470,0.0470,0.0470,0.0470,0.0470,0.0470,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0470,0.0470,0.0520",0.1
block-words,p02,30,7,6,3,0,2,"4,3,2,2,2,2,0,0,0,2,2,2,2,2,2,2,4,2,2,4","0.0409,0.0452,0.0499,0.0499,0.0499,0.0499,0.0610,0.0610,0.0610,0.0499,0.0499,0.0499,0.0499,0.0499,0.0499,0.0499,0.0409,0.0499,0.0499,0.0409",0.1
block-words,p02,50,7,6,3,0,2,"4,3,2,2,2,2,0,0,0,2,2,2,2,2,2,2,4,2,2,4","0.0409,0.0452,0.0499,0.0499,0.0499,0.0499,0.0610,0.0610,0.0610,0.0499,0.0499,0.0499,0.0499,0.0499,0.0499,0.0499,0.0409,0.0499,0.0499,0.0409",0.1
block-words,p02,70,7,7,1,1,3,"5,5,3,3,2,2,1,0,1,3,3,2,2,2,2,2,5,2,2,4","0.0388,0.0388,0.0474,0.0474,0.0524,0.0524,0.0579,0.0640,0.0579,0.0474,0.0474,0.0524,0.0524,0.0524,0.0524,0.0524,0.0388,0.0524,0.0524,0.0429",0.1
block-words,p02,100,7,7,1,1,4,"6,6,4,4,4,4,4,0,4,6,6,6,4,4,4,4,8,4,4,4","0.0425,0.0425,0.0519,0.0519,0.0519,0.0519,0.0519,0.0775,0.0519,0.0425,0.0425,0.0425,0.0519,0.0519,0.0519,0.0519,0.0348,0.0519,0.0519,0.0519",0.1
block-words,p02,10,8,6,12,0,1,"1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0","0.0470,0.0470,0.0470,0.0470,0.0470,0.0470,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0520,0.0470,0.0470,0.0520",0.1
block-words,p02,30,8,6,3,0,2,"4,3,2,2,2,2,0,0,0,2,2,2,2,2,2,2,4,2,2,4","0.0409,0.0452,0.0499,0.0499,0.0499,0.0499,0.0610,0.0610,0.0610,0.0499,0.0499,0.0499,0.0499,0.0499,0.0499,0.0499,0.0409,0.0499,0.0499,0.0409",0.1
block-words,p02,50,8,6,3,0,2,"4,3,2,2,2,2,0,0,0,2,2,2,2,2,2,2,4,2,2,4","0.0409,0.0452,0.0499,0.0499,0.0499,0.0499,0.0610,0.0610,0.0610,0.0499,0.0499,0.0499,0.0499,0.0499,0.0499,0.0499,0.0409,0.0499,0.0499,0.0409",0.1
block-words,p02,70,8,8,1,1,3,"6,4,2,3,2,3,1,1,0,3,2,2,2,3,3,2,4,3,3,4","0.0355,0.0433,0.0529,0.0479,0.0529,0.0479,0.0585,0.0585,0.0647,0.0479,0.0529,0.0529,0.0529,0.0479,0.0479,0.0529,0.0433,0.0479,0.0479,0.0433",0.1
block-words,p02,100,8,8,1,1,4,"8,6,4,4,4,4,4,4,0,6,2,2,2,6,6,2,4,4,4,6","0.0333,0.0406,0.0496,0.0496,0.0496,0.0496,0.0496,0.0496,0.0741,0.0406,0.0606,0.0606,0.0606,0.0406,0.0406,0.0606,0.0496,0.0496,0.0496,0.0406",0.1
block-words,p02,10,9,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466",0.1
block-words,p02,30,9,0,10,0,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,0.0362,0.0442,0.0597,0.0597,0.0597,0.0362,0.0362,0.0362,0.0362,0.0442,0.0489,0.0489,0.0362",0.1
block-words,p02,50,9,1,9,0,5,"2,0,0,0,0,0,0,5,5,0,0,0,6,6,6,6,4,4,4,5","0.0517,0.0631,0.0631,0.0631,0.0631,0.0631,0.0631,0.0383,0.0383,0.0631,0.0631,0.0631,0.0346,0.0346,0.0346,0.0346,0.0423,0.0423,0.0423,0.0383",0.1
block-words,p02,70,9,9,3,1,7,"5,1,1,1,1,1,4,6,6,0,0,0,6,6,6,6,6,7,5,6","0.0424,0.0633,0.0633,0.0633,0.0633,0.0633,0.0469,0.0384,0.0384,0.0700,0.0700,0.0700,0.0384,0.0384,0.0384,0.0384,0.0384,0.0347,0.0424,0.0384",0.1
block-words,p02,100,9,9,1,1,10,"10,6,6,6,6,6,10,12,12,0,4,4,12,12,8,12,14,10,10,12","0.0406,0.0606,0.0606,0.0606,0.0606,0.0606,0.0406,0.0332,0.0332,0.1104,0.0740,0.0740,0.0332,0.0332,0.0496,0.0332,0.0272,0.0406,0.0406,0.0332",0.1
block-words,p02,10,10,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466",0.1
block-words,p02,30,10,0,10,0,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,0.0362,0.0442,0.0597,0.0597,0.0597,0.0362,0.0362,0.0362,0.0362,0.0442,0.0489,0.0489,0.0362",0.1
block-words,p02,50,10,1,9,0,5,"2,0,0,0,0,0,0,5,5,0,0,0,6,6,6,6,4,4,4,5","0.0517,0.0631,0.0631,0.0631,0.0631,0.0631,0.0631,0.0383,0.0383,0.0631,0.0631,0.0631,0.0346,0.0346,0.0346,0.0346,0.0423,0.0423,0.0423,0.0383",0.1
block-words,p02,70,10,9,3,0,7,"5,1,1,1,1,1,4,6,6,0,0,0,6,6,6,6,6,7,5,6","0.0424,0.0633,0.0633,0.0633,0.0633,0.0633,0.0469,0.0384,0.0384,0.0700,0.0700,0.0700,0.0384,0.0384,0.0384,0.0384,0.0384,0.0347,0.0424,0.0384",0.1
block-words,p02,100,10,10,2,1,10,"12,6,6,6,6,6,10,12,8,4,0,0,8,12,12,8,6,10,10,10","0.0302,0.0550,0.0550,0.0550,0.0550,0.0550,0.0368,0.0302,0.0450,0.0671,0.1001,0.1001,0.0450,0.0302,0.0302,0.0450,0.0550,0.0368,0.0368,0.0368",0.1
block-words,p02,10,11,0,10,0,2,"0,0,0,0,0,0,0,2,2,0,0,0,4,4,4,4,2,2,2,2","0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0465,0.0465,0.0568,0.0568,0.0568,0.0381,0.0381,0.0381,0.0381,0.0465,0.0465,0.0465,0.0465",0.1
block-words,p02,30,11,1,9,0,4,"2,0,0,0,0,0,0,4,4,0,0,0,6,6,6,6,4,4,4,4","0.0511,0.0624,0.0624,0.0624,0.0624,0.0624,0.0624,0.0418,0.0418,0.0624,0.0624,0.0624,0.0342,0.0342,0.0342,0.0342,0.0418,0.0418,0.0418,0.0418",0.1
block-words,p02,50,11,1,9,0,6,"4,0,0,0,0,0,0,6,6,0,0,0,6,6,6,6,6,6,4,6","0.0439,0.0654,0.0654,0.0654,0.0654,0.0654,0.0654,0.0359,0.0359,0.0654,0.0654,0.0654,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0439,0.0359",0.1
block-words,p02,70,11,10,2,0,9,"10,4,4,5,4,5,7,9,8,1,0,0,8,9,9,8,6,9,9,8","0.0323,0.0589,0.0589,0.0533,0.0589,0.0533,0.0437,0.0358,0.0395,0.0796,0.0879,0.0879,0.0395,0.0358,0.0358,0.0395,0.0483,0.0358,0.0358,0.0395",0.1
block-words,p02,100,11,11,1,1,12,"16,10,9,8,6,8,12,14,11,6,3,0,14,14,14,14,9,12,12,14","0.0258,0.0469,0.0519,0.0573,0.0700,0.0573,0.0384,0.0315,0.0425,0.0700,0.0945,0.1276,0.0315,0.0315,0.0315,0.0315,0.0519,0.0384,0.0384,0.0315",0.1
block-words,p02,10,12,4,11,0,1,"1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0","0.0473,0.0473,0.0473,0.0473,0.0522,0.0522,0.0473,0.0522,0.0473,0.0473,0.0473,0.0522,0.0522,0.0522,0.0522,0.0522,0.0473,0.0522,0.0522,0.0522",0.1
block-words,p02,30,12,12,4,1,3,"3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,2,1,1,2","0.0441,0.0441,0.0441,0.0441,0.0441,0.0441,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0595,0.0595,0.0595,0.0595,0.0487,0.0538,0.0538,0.0487",0.1
block-words,p02,50,12,12,4,1,4,"4,4,4,4,5,5,4,4,4,4,4,4,0,0,0,0,4,4,4,4","0.0459,0.0459,0.0459,0.0459,0.0416,0.0416,0.0459,0.0459,0.0459,0.0459,0.0459,0.0459,0.0685,0.0685,0.0685,0.0685,0.0459,0.0459,0.0459,0.0459",0.1
block-words,p02,70,12,12,2,1,6,"8,6,6,6,8,8,8,8,4,8,4,4,0,4,4,0,4,6,6,6","0.0374,0.0457,0.0457,0.0457,0.0374,0.0374,0.0374,0.0374,0.0558,0.0374,0.0558,0.0558,0.0833,0.0558,0.0558,0.0833,0.0558,0.0457,0.0457,0.0457",0.1
block-words,p02,100,12,12,1,1,8,"12,6,9,8,12,10,12,12,12,10,7,8,0,6,6,3,12,8,8,10","0.0335,0.0610,0.0452,0.0499,0.0335,0.0409,0.0335,0.0335,0.0335,0.0409,0.0552,0.0499,0.1111,0.0610,0.0610,0.0823,0.0335,0.0499,0.0499,0.0409",0.1
block-words,p02,10,13,4,11,0,1,"1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0","0.0473,0.0473,0.0473,0.0473,0.0522,0.0522,0.0473,0.0522,0.0473,0.0473,0.0473,0.0522,0.0522,0.0522,0.0522,0.0522,0.0473,0.0522,0.0522,0.0522",0.1
block-words,p02,30,13,12,6,0,2,"2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,2","0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0573,0.0573,0.0573,0.0573,0.0469,0.0573,0.0573,0.0469",0.1
block-words,p02,50,13,12,4,0,3,"3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,2,1,1,2","0.0441,0.0441,0.0441,0.0441,0.0441,0.0441,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0595,0.0595,0.0595,0.0595,0.0487,0.0538,0.0538,0.0487",0.1
block-words,p02,70,13,13,1,1,5,"4,4,4,4,6,6,4,5,5,4,4,4,1,0,1,1,4,4,4,5","0.0479,0.0479,0.0479,0.0479,0.0392,0.0392,0.0479,0.0433,0.0433,0.0479,0.0479,0.0479,0.0646,0.0714,0.0646,0.0646,0.0479,0.0479,0.0479,0.0433",0.1
block-words,p02,100,13,13,1,1,6,"4,4,4,4,6,6,6,8,8,4,4,4,4,0,4,4,6,4,4,8","0.0533,0.0533,0.0533,0.0533,0.0436,0.0436,0.0436,0.0357,0.0357,0.0533,0.0533,0.0533,0.0533,0.0794,0.0533,0.0533,0.0436,0.0533,0.0533,0.0357",0.1
block-words,p02,10,14,4,11,0,1,"1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0","0.0473,0.0473,0.0473,0.0473,0.0522,0.0522,0.0473,0.0522,0.0473,0.0473,0.0473,0.0522,0.0522,0.0522,0.0522,0.0522,0.0473,0.0522,0.0522,0.0522",0.1
block-words,p02,30,14,12,6,0,2,"2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,2","0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0573,0.0573,0.0573,0.0573,0.0469,0.0573,0.0573,0.0469",0.1
block-words,p02,50,14,12,4,0,3,"3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,2,1,1,2","0.0441,0.0441,0.0441,0.0441,0.0441,0.0441,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0595,0.0595,0.0595,0.0595,0.0487,0.0538,0.0538,0.0487",0.1
block-words,p02,70,14,12,2,0,5,"4,4,5,5,7,7,6,6,6,4,5,5,0,1,0,1,6,5,5,6","0.0508,0.0508,0.0460,0.0460,0.0376,0.0376,0.0416,0.0416,0.0416,0.0508,0.0460,0.0460,0.0758,0.0686,0.0758,0.0686,0.0416,0.0460,0.0460,0.0416",0.1
block-words,p02,100,14,14,1,1,6,"6,6,6,6,8,8,8,8,8,4,8,8,4,4,0,4,8,6,6,8","0.0498,0.0498,0.0498,0.0498,0.0408,0.0408,0.0408,0.0408,0.0408,0.0608,0.0408,0.0408,0.0608,0.0608,0.0908,0.0608,0.0408,0.0498,0.0498,0.0408",0.1
block-words,p02,10,15,4,11,0,1,"1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0","0.0473,0.0473,0.0473,0.0473,0.0522,0.0522,0.0473,0.0522,0.0473,0.0473,0.0473,0.0522,0.0522,0.0522,0.0522,0.0522,0.0473,0.0522,0.0522,0.0522",0.1
block-words,p02,30,15,12,6,0,2,"2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,2","0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0573,0.0573,0.0573,0.0573,0.0469,0.0573,0.0573,0.0469",0.1
block-words,p02,50,15,12,4,0,3,"3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,2,1,1,2","0.0441,0.0441,0.0441,0.0441,0.0441,0.0441,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0595,0.0595,0.0595,0.0595,0.0487,0.0538,0.0538,0.0487",0.1
block-words,p02,70,15,12,2,0,5,"6,4,4,5,6,7,5,5,4,5,4,4,0,1,1,0,4,5,5,4","0.0400,0.0488,0.0488,0.0442,0.0400,0.0362,0.0442,0.0442,0.0488,0.0442,0.0488,0.0488,0.0728,0.0659,0.0659,0.0728,0.0488,0.0442,0.0442,0.0488",0.1
block-words,p02,100,15,12,2,0,6,"8,6,6,6,8,8,8,8,4,8,4,4,0,4,4,0,4,6,6,6","0.0374,0.0457,0.0457,0.0457,0.0374,0.0374,0.0374,0.0374,0.0558,0.0374,0.0558,0.0558,0.0833,0.0558,0.0558,0.0833,0.0558,0.0457,0.0457,0.0457",0.1
block-words,p02,10,16,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466,0.0515,0.0466,0.0466,0.0515,0.0515,0.0515,0.0466",0.1
block-words,p02,30,16,0,12,0,2,"0,0,0,0,0,0,2,4,4,0,0,0,3,2,3,2,0,0,0,4","0.0557,0.0557,0.0557,0.0557,0.0557,0.0557,0.0456,0.0373,0.0373,0.0557,0.0557,0.0557,0.0413,0.0456,0.0413,0.0456,0.0557,0.0557,0.0557,0.0373",0.1
block-words,p02,50,16,9,4,0,3,"1,1,1,1,1,1,2,4,4,0,0,0,4,2,4,2,0,1,1,4","0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0480,0.0393,0.0393,0.0587,0.0587,0.0587,0.0393,0.0480,0.0393,0.0480,0.0587,0.0531,0.0531,0.0393",0.1
block-words,p02,70,16,10,3,0,5,"8,4,4,5,4,5,5,7,6,1,0,0,6,5,7,4,0,3,5,6","0.0334,0.0498,0.0498,0.0451,0.0498,0.0451,0.0451,0.0369,0.0408,0.0673,0.0744,0.0744,0.0408,0.0451,0.0369,0.0498,0.0744,0.0551,0.0451,0.0408",0.1
