domain,instance,obs_pct,true_idx,predicted_idx,spread,correct,obs_count,deltas,posterior,beta
block-words,p02,10,0,0,14,1,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0712,0.0005,0.0005,0.0712,0.0712,0.0712,0.0005,0.0712,0.0005,0.0005,0.0712,0.0712,0.0712,0.0005",5.0
block-words,p02,30,0,0,10,1,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.0000,0.0000,0.1000,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",5.0
block-words,p02,50,0,0,8,1,4,"0,0,0,0,0,0,0,5,5,0,2,2,8,6,6,7,5,4,4,8","0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",5.0
block-words,p02,70,0,0,1,1,6,"0,4,4,3,4,4,4,10,10,2,4,4,10,8,8,10,10,8,8,12","1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",5.0
block-words,p02,100,0,0,1,1,8,"0,6,6,6,6,6,8,12,14,4,6,6,12,8,10,10,10,8,8,14","1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",5.0
block-words,p02,10,1,0,10,0,2,"0,0,0,0,0,0,0,3,2,0,0,0,4,4,4,4,2,2,2,3","0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.0000,0.0000,0.1000,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",5.0
block-words,p02,30,1,1,9,1,4,"2,0,0,0,0,0,0,5,4,0,0,0,8,8,8,8,4,6,6,5","0.0000,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.0000,0.0000,0.1111,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",5.0
block-words,p02,50,1,1,9,1,6,"4,0,0,0,0,0,0,6,6,0,0,0,8,8,8,8,6,8,6,6","0.0000,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.0000,0.0000,0.1111,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",5.0
block-words,p02,70,1,1,3,1,9,"8,0,0,1,0,1,5,9,8,5,4,4,8,11,9,8,10,9,7,8","0.0000,0.3318,0.3318,0.0022,0.3318,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",5.0
block-words,p02,100,1,1,1,1,12,"14,0,3,6,4,6,14,14,14,8,9,10,10,14,12,13,16,14,12,14","0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",5.0
